strategy_id,information_set,target,start,end,trades,gross_return,net_return,CAGR,max_dd,Sharpe,Sortino,Calmar,turnover,data_cost,live_external_dependency,status,family,dataset_id,timeframe,economic_status,replay_kind,validation_net_return,validation_trades,level1_dataset_status
HYP-OICOT-0002,IS-D,next-session front open-to-open after Friday knowledge_time,,,66,-0.11662290677288822,-0.11662290677288822,-0.01085534999658977,-0.18715985796235593,-0.20273151903974887,-0.0355746667099223,-0.05800041801043224,29.922159651005007,0.0,YES,POSITIVE_BUT_WEAK,OI_COT_BUILD_V1,next-session front open-to-open after Friday knowledge_time,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,0.36608168619035886,38,WEAK_EDGE
HYP-OICOT-0003,IS-D,next-session front open-to-open after Friday knowledge_time,,,74,0.28818603280485267,0.28818603280485267,0.022539907882311194,-0.07572765458337281,0.49431147123512337,0.11440716433693367,0.2976443415066519,40.85226821216232,0.0,YES,POSITIVE_BUT_WEAK,OI_COT_BUILD_V1,next-session front open-to-open after Friday knowledge_time,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,0.10164654384911809,63,CANDIDATE
HYP-POS-0001,IS-B,GOLD,2018,2024,11,0.0028366971410702657,0.0028366971410702657,0.00042549913419875907,-0.012810726717467387,0.08303211471686177,0.010826737496627067,0.033214285464273643,2.8199975238366,0.0,YES,POSITIVE_BUT_WEAK,POSITIONING_V1,GOLD,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,0.0019478046596594911,1,WEAK_EDGE
HYP-POS-0002,IS-B,OIL,2018,2024,8,0.018416723251632572,0.018416723251632572,0.0027476794777880897,-0.005108893894485917,0.45323652617474924,9.048069304805805,0.5378227723135313,0.8522956022544927,0.0,YES,POSITIVE_BUT_WEAK,POSITIONING_V1,OIL,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,-0.003440316995769188,2,WEAK_EDGE
HYP-POS-0003,IS-B,GOLD,2018,2024,10,-0.02778131213094981,-0.02778131213094981,-0.004222275031763645,-0.02814388550474505,-0.8495155030109363,-0.19073473348769737,-0.1500245952553982,2.905185752358003,0.0,YES,LOSS,POSITIONING_V1,GOLD,D1,LOSS,STRATEGY_REPLAY,0.0,0,NO_EDGE
HYP-RATES-0001,IS-B,GOLD,2018,2024,39,-0.03231459194545516,-0.03231459194545516,-0.004920960384249273,-0.04145268349319467,-0.38375877723875007,-0.16406686144551488,-0.1187127097587579,11.25731797808571,0.0,YES,LOSS,RATES_V1,GOLD,D1,LOSS,STRATEGY_REPLAY,-0.004615755830264634,3,NO_EDGE
HYP-RATES-0002,IS-B,GOLD,2018,2024,26,0.013098703898061892,0.013098703898061892,0.0019562863335369496,-0.016913572162543303,0.17311872429539307,0.05598498502233565,0.11566369982263887,8.832027428225818,0.0,YES,POSITIVE_BUT_WEAK,RATES_V1,GOLD,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,-0.02424355358525132,9,WEAK_EDGE
HYP-RATES-0003,IS-B,OIL,2018,2024,39,-0.01944960241109439,-0.01944960241109439,-0.002948860230472028,-0.03267825380144089,-0.24530418688019012,-0.0860652574156952,-0.09023922295205392,4.457680540371767,0.0,YES,LOSS,RATES_V1,OIL,D1,LOSS,STRATEGY_REPLAY,-0.005778255355876505,3,NO_EDGE
HYP-RI-0001,IS-A,GOLD,2018,2024,96,-0.2113995019644973,-0.2113995019644973,-0.04402731116008185,-0.2133235880702368,-2.648802630921036,-0.3558144019122388,-0.2063874490315898,78.26552415145,0.0,NO,LOSS,REGIME_INTERACTION_V1,GOLD,H1,LOSS,STRATEGY_REPLAY,-0.09194585460253657,59,NO_EDGE
HYP-RI-0002,IS-A,OIL,2018,2024,95,-0.15971017765322137,-0.15971017765322137,-0.03248347912904237,-0.16731947258205943,-1.3043444281250618,-0.2687576775425465,-0.19414045853575898,70.5496196104711,0.0,NO,LOSS,REGIME_INTERACTION_V1,OIL,H1,LOSS,STRATEGY_REPLAY,-0.17783750304018608,61,NO_EDGE
